36.40,NORMAL
36.55,NORMAL
36.70,NORMAL
36.62,NORMAL
36.48,NORMAL
36.81,NORMAL
36.35,NORMAL
36.90,NORMAL
36.25,NORMAL
36.65,NORMAL
36.50,NORMAL
36.73,NORMAL
36.38,NORMAL
36.59,NORMAL
36.44,NORMAL
36.32,NORMAL
36.78,NORMAL
36.67,NORMAL
36.29,NORMAL
36.60,NORMAL
36.36,NORMAL
36.53,NORMAL
36.41,NORMAL
36.92,NORMAL
36.68,NORMAL
36.84,NORMAL
36.30,NORMAL
36.75,NORMAL
36.47,NORMAL
36.58,NORMAL
37.35,WARNING
37.60,WARNING
37.55,WARNING
37.80,WARNING
37.90,WARNING
38.10,WARNING
37.42,WARNING
38.25,WARNING
38.00,WARNING
38.05,WARNING
37.75,WARNING
37.88,WARNING
38.30,WARNING
37.95,WARNING
38.12,WARNING
38.50,WARNING
38.40,WARNING
38.20,WARNING
38.15,WARNING
38.35,WARNING
38.28,WARNING
38.55,WARNING
38.07,WARNING
38.18,WARNING
38.45,WARNING
38.38,WARNING
37.98,WARNING
38.60,WARNING
38.65,WARNING
38.70,WARNING
39.05,CRITICAL
39.10,CRITICAL
39.25,CRITICAL
39.30,CRITICAL
39.40,CRITICAL
39.50,CRITICAL
39.15,CRITICAL
39.60,CRITICAL
39.35,CRITICAL
39.55,CRITICAL
39.45,CRITICAL
39.70,CRITICAL
39.90,CRITICAL
40.00,CRITICAL
39.80,CRITICAL
40.20,CRITICAL
40.10,CRITICAL
40.30,CRITICAL
39.75,CRITICAL
40.15,CRITICAL
40.25,CRITICAL
39.95,CRITICAL
39.85,CRITICAL
40.05,CRITICAL
40.40,CRITICAL
40.50,CRITICAL
40.60,CRITICAL
40.70,CRITICAL
40.80,CRITICAL
41.00,CRITICAL
