36.32,NORMAL
36.53,NORMAL
36.78,NORMAL
36.67,NORMAL
36.41,NORMAL
36.80,NORMAL
36.38,NORMAL
36.80,NORMAL
36.65,NORMAL
36.65,NORMAL
36.25,NORMAL
36.23,NORMAL
36.33,NORMAL
36.98,NORMAL
36.74,NORMAL
36.88,NORMAL
36.78,NORMAL
36.67,NORMAL
36.67,NORMAL
36.60,NORMAL
36.36,NORMAL
36.53,NORMAL
36.41,NORMAL
36.92,NORMAL
36.68,NORMAL
36.44,NORMAL
36.30,NORMAL
36.73,NORMAL
36.48,NORMAL
36.58,NORMAL
35.95,WARNING
35.88,WARNING
35.77,WARNING
35.91,WARNING
35.69,WARNING
35.85,WARNING
35.80,WARNING
35.92,WARNING
35.75,WARNING
35.99,WARNING
35.86,WARNING
35.71,WARNING
35.65,WARNING
35.94,WARNING
35.89,WARNING
35.60,WARNING
35.55,WARNING
35.66,WARNING
35.73,WARNING
35.83,WARNING
35.70,WARNING
35.68,WARNING
35.87,WARNING
35.64,WARNING
35.58,WARNING
35.76,WARNING
35.82,WARNING
35.90,WARNING
35.67,WARNING
35.63,WARNING
34.95,CRITICAL
34.85,CRITICAL
34.92,CRITICAL
34.88,CRITICAL
34.80,CRITICAL
34.74,CRITICAL
34.90,CRITICAL
34.67,CRITICAL
34.78,CRITICAL
34.65,CRITICAL
34.60,CRITICAL
34.55,CRITICAL
34.70,CRITICAL
34.62,CRITICAL
34.50,CRITICAL
34.45,CRITICAL
34.35,CRITICAL
34.25,CRITICAL
34.40,CRITICAL
34.30,CRITICAL
34.15,CRITICAL
34.10,CRITICAL
33.95,CRITICAL
33.85,CRITICAL
33.90,CRITICAL
33.75,CRITICAL
33.60,CRITICAL
33.45,CRITICAL
33.30,CRITICAL
33.15,CRITICAL
