36.15,NORMAL
36.20,NORMAL
36.25,NORMAL
36.30,NORMAL
36.35,NORMAL
36.40,NORMAL
36.45,NORMAL
36.50,NORMAL
36.55,NORMAL
36.60,NORMAL
36.65,NORMAL
36.70,NORMAL
36.75,NORMAL
36.80,NORMAL
36.85,NORMAL
36.90,NORMAL
36.95,NORMAL
37.00,NORMAL
37.05,NORMAL
37.10,NORMAL
37.15,NORMAL
37.16,NORMAL
37.17,NORMAL
37.18,NORMAL
37.19,NORMAL
37.20,NORMAL
36.12,NORMAL
36.27,NORMAL
36.33,NORMAL
36.72,NORMAL
37.30,WARNING
37.35,WARNING
37.40,WARNING
37.45,WARNING
37.50,WARNING
37.55,WARNING
37.60,WARNING
37.65,WARNING
37.70,WARNING
37.75,WARNING
37.80,WARNING
37.85,WARNING
37.90,WARNING
37.95,WARNING
38.00,WARNING
38.05,WARNING
38.10,WARNING
38.15,WARNING
38.20,WARNING
38.25,WARNING
38.30,WARNING
38.35,WARNING
38.40,WARNING
38.45,WARNING
38.50,WARNING
38.55,WARNING
38.60,WARNING
38.65,WARNING
38.70,WARNING
38.75,WARNING
34.95,CRITICAL
34.90,CRITICAL
34.85,CRITICAL
34.80,CRITICAL
34.75,CRITICAL
34.70,CRITICAL
34.65,CRITICAL
34.60,CRITICAL
34.55,CRITICAL
34.50,CRITICAL
34.45,CRITICAL
34.40,CRITICAL
34.35,CRITICAL
34.30,CRITICAL
34.25,CRITICAL
34.20,CRITICAL
34.15,CRITICAL
34.10,CRITICAL
34.05,CRITICAL
34.00,CRITICAL
33.95,CRITICAL
33.90,CRITICAL
33.85,CRITICAL
33.80,CRITICAL
33.75,CRITICAL
33.70,CRITICAL
33.65,CRITICAL
33.60,CRITICAL
33.55,CRITICAL
33.50,CRITICAL
